Бренд и Юрлицо (!),Веб-сайт,ИНН,МOEX,Регион,"Устойчивое развитие, Социальная отчетность, ESG",Экология,"Забота о потребителях, защита прав потребителей ","Забота о работниках, социальные программы","Поставщикам, Закупки","Корпоративное управление, совет директоров, высший менеджмент","Миссия, ценности",Этический кодекс,Антикоррупция,Раскрытие информации,,Количесво ссылок
НОРЕБО,https://norebo.ru,2901170107,,СЗФО,https://norebo.ru/news/novyy-flot-norebo-kazhdyy-kilogramm-ulova-v-delo-1,https://norebo.ru/sustainable-fishing,Нет,https://norebo.ru/career,https://trade.norebo.ru/,Нет,Нет,https://norebo.ru/codex,Нет,Нет,,6
Компания “Путина”,https://putina.org,7825507838,,СЗФО,нет,Нет,https://putina.org/politika,https://putina.org/laborprotection,https://putina.org/usloviya,https://putina.org/company,Нет,Нет,Нет,Нет,,5
Балтийский берег,https://www.baltbereg.com,7804500052,,СЗФО,нет,Нет,Нет,https://www.baltbereg.com/about_us/charity/,https://www.baltbereg.com/for_partners/zakupki/,,https://www.baltbereg.com/about_us/vision_and_philosophy/,Нет,Нет,Нет,,4
МТС,https://mts.ru,7740000076,*,СЗФО,нет,Нет,Нет,Нет,https://tenders.mts.ru/?_ga=2.21258745.358596017.1677476982-1366343354.1659946707,Нет,https://spb.mts.ru/about,https://spb.mts.ru/about/komplaens-i-delovaya-etika,Нет,https://spb.mts.ru/about/investoram-i-akcioneram/korporativnoe-upravlenie/raskritie-informacii,,4
Ростелеком,https://www.company.rt.ru,7707049388,*,СЗФО,https://www.company.rt.ru/social/,Нет,Нет,https://www.company.rt.ru/career/vacancy/,https://zakupki.rostelecom.ru,Нет,https://www.company.rt.ru/about/mission_vision/,Нет,https://nocorruption.rt.ru,https://www.company.rt.ru/about/disclosure/,,6
Билайн (Вымпелком СЗФО),https://beeline.ru/,7713076301,,СЗФО,https://moskva.beeline.ru/about/about-beeline/social/,Нет,Нет,https://job.beeline.ru,https://spb.beeline.ru/business/partners/,Нет,https://spb.beeline.ru/about/about-beeline/,https://spb.beeline.ru/about/compliance/about-compliance/,Нет,https://spb.beeline.ru/about/about-beeline/disclosure/documents/,,6
Мегафон,https://megafon.ru/,7812014560,,СЗФО,https://corp.megafon.ru/development/,Нет,Нет,Нет,https://corp.megafon.ru/activity/#partners,Нет,https://corp.megafon.ru/about/#mission,https://corp.megafon.ru/about/#ethics,Нет,Нет,,5
Теле2,https://spb.tele2.ru,7743895280,,СЗФО,нет,Нет,Нет,https://spb.tele2.ru/about/career,https://spb.tele2.ru/about/cooperation#cooperation,Нет,https://spb.tele2.ru/about/company/values,https://spb.tele2.ru/about/business/compliance,https://s3.tele2.ru/ds-site/bcc_media/content/dokumenty/antikorrupcionnaya-politika-publichnaya-m3000034.pdf,Нет,,6
КОМФОРТЕЛ,https://comfortel.pro,5753043073,,СЗФО,нет,Нет,Нет,https://comfortel.pro/career,Нет,Нет,https://comfortel.pro/sankt-peterburg/about,Нет,Нет,Нет,,3
VK,https://vk.company/ru/,7743001840,*,RAEX,https://vk.company/ru/esg/,https://corp.vkcdn.ru/media/files/%D0%AD%D0%BA%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F_%D0%BF%D0%BE%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%D0%B0_VK.pdf,https://vk.company/ru/esg/csr/,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,4
«Яндекс»,https://yandex.ru/company,7736207543,,RAEX,https://sustainability.yandex.ru/,https://sustainability.yandex.ru/environmental-impact/carbon-footprint,https://inclusion.yandex.ru/,https://sustainability.yandex.ru/investing-in-people/yandex-employees,https://yandex.ru/company/procurement,https://ir.yandex.ru/corporate-governance/board-of-directors,https://yandex.ru/company/main,https://yandex.ru/company/rules/code/,Нет,https://yandex.ru/company/prospectus,,9
Positive Technologies,https://www.ptsecurity.com/ru-ru/,7718668887,*,RAEX,нет,Нет,Нет,Нет,Нет,https://group.ptsecurity.com/ru/corporate-governance/,Нет,Нет,Нет,https://group.ptsecurity.com/ru/disclosure/,,2
ПСБ по СЗФО,https://www.psbank.ru,7744000912,,СЗФО,нет,Нет,https://www.psbank.ru/Bank/Quality,https://job.psbank.ru,Нет,https://www.psbank.ru/Bank/CorporateGovernance/Board,Нет,Нет,Нет,https://www.psbank.ru/Bank/Emitters,,4
ДОМ.РФ,https://дом.рф,7729355614,,СЗФО,https://xn--d1aqf.xn--p1ai/about/sustainable-development/domrf/,https://дом.рф/about/sustainable-development/ecology/,Нет,https://дом.рф/career/,https://дом.рф/about/purchasings/domrf/,Нет,Нет,Нет,Нет,https://дом.рф/investors/reports/emitent/,,5
ВТБ,https://www.vtb.ru,7702070139,*,СЗФО,https://www.vtb.ru/about/bank/sustainability/,Нет,Нет,https://vtbcareer.com,Нет,Нет,https://www.vtb.ru/about/mission/,Нет,Нет,https://www.vtb.ru/ir/disclosure/,,4
"""Открытие""",https://www.open.ru,7706092528,,СЗФО,https://www.open.ru/about/press/47025,Нет,Нет,http://talent.open.ru,https://www.open.ru/about/tenders,Нет,Нет,Нет,Нет,https://www.open.ru/openinfo,,4
СБЕРБАНК,https://www.sberbank.ru/,7707083893,*,СЗФО,https://www.sberbank.com/ru/sustainability,https://www.sberbank.com/ru/sustainability,https://www.sberbank.com/common/img/uploaded/redirected/sberbank.com/pdf/sustainability/uvazh_prav_cheloveka_i_fin_inklus_1.pdf,https://rabota.sber.ru,Нет,https://www.sberbank.com/ru/investor-relations/corporate-governance,https://www.sberbank.com/ru/about/mission,https://www.sberbank.com/ru/about/ethics,https://www.sberbank.com/ru/compliance/ukipk,https://www.sberbank.com/ru/investor-relations/disclosure,,9
"""Альфа-Банк""",https://alfabank.ru,7728168971,,СЗФО,https://alfabank.ru/about/sustainability/,https://alfabank.ru/about/sustainability/,Нет,Нет,https://alfabank.ru/tenders/,https://alfabank.ru/about/corporate_governance/structure/,Нет,https://alfabank.ru/about/codex/,Нет,https://alfabank.ru/about/information/,,6
Банк непрофильных активов «Траст»,https://www.trust.ru/,7831001567,,СЗФО,нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,https://www.trust.ru/about/disclosure_information/,,1
ИНГОССТРАХ в Спб,https://www.ingos.ru,7705042179,,СЗФО,нет,Нет,https://www.ingos.ru/company/sluzhba-doveriya,https://www.ingos.ru/career,Нет,Нет,Нет,Нет,Нет,https://www.ingos.ru/company/disclosure-info,,3
"""РЕСО-Гарантия""",https://reso.ru/,7710045520,,СЗФО,нет,Нет,https://reso.ru/export/sites/reso/about/bazovuy_standart.pdf,https://reso.ru/about/career/,https://reso.ru/about/tenders/,https://reso.ru/about/team-hidden/,Нет,Нет,Нет,https://reso.ru/shareholders/,,5
«МОСКОВСКИЙ КРЕДИТНЫЙ БАНК»,https://mkb.ru,7734202860,*,RAEX,https://ir.mkb.ru/sustainability,Нет, https://mkb.ru/about/contacts,Нет,Нет,https://mkb.ru/about/corporate-governance,нет,нет,нет,https://ir.mkb.ru/sustainability/disclosures/obligations,,4
Юникредит Банк,https://www.unicreditbank.ru/ru/personal.html#home,7710030411,,RAEX,https://www.unicreditbank.ru/ru/about/press_media/press-releases/26112019.html,Нет,Нет,Нет,Нет,нет,нет,нет,нет,https://www.unicreditbank.ru/ru/about/issuer-information/professional-participant-info.html,,2
«АК БАРС» БАНК,https://www.akbars.ru,1653001805,,RAEX,https://www.akbars.ru/about/free-info/sustainability/,https://www.akbars.ru/about/free-info/sustainability/environment/,https://www.akbars.ru/about/general/contacts/,https://www.akbars.ru/about/free-info/sustainability/responsibility/,Нет,нет,нет,нет,нет,https://www.akbars.ru/about/free-info/regular-target/,,5
ПАО КБ «‎Центр-Инвест»,https://www.centrinvest.ru,6163011391,,RAEX,https://www.centrinvest.ru/esg,Нет,https://www.centrinvest.ru/social-projects,Нет,Нет ,нет,нет,нет,нет,Нет,,3
Алмазэргиэнбанк,http://www.albank.ru/,1435138944,,RAEX,https://www.albank.ru/ru/invest/information/annual-report/,Нет,Нет,Нет,Нет,нет,нет,нет,нет,https://www.albank.ru/ru/invest/information/regulatory-information/,,2
Райффайзенбанк,https://www.raiffeisen.ru,7744000302,,RAEX,https://www.raiffeisen.ru/about/bank/,нет,нет,https://career.raiffeisen.ru,нет,нет,https://www.raiffeisen.ru/about/mission/,,https://www.raiffeisen.ru/about/anticorr/,https://www.raiffeisen.ru/about/investors/disclosure/,,5
Совкомбанк,https://sovcombank.ru,4401116480,,RAEX,https://sovcombank.ru/about/sustainability,нет,https://sovcombank.ru/about/pages/Klientam_i_pertneram,https://people.sovcombank.ru,нет,нет,нет,https://sovcombank.ru/about/sustainability,https://sovcombank.ru/about/sustainability,https://sovcombank.ru/about/pages/disclosure,,6
Росбанк,https://www.rosbank.ru,7730060164,,RAEX,нет,https://www.rosbank.ru/o-banke/ustoichivoe-razvitie/,https://www.rosbank.ru/o-banke/ustoichivoe-razvitie/,https://www.rosbank.ru/o-banke/otvetstvenniy-rabotodatel/,нет,нет,нет,нет,нет,https://www.rosbank.ru/o-banke/raskrytie-informacii/,,4
